deaths, magnitude, year
452, 8.3, 1906
2000, 8.6, 1906
83000, 7.5, 1908
29980, 8.6, 1915
100000, 8.3, 1920
99330, 8.3, 1923
200000, 8.3, 1927
70000, 7.6, 1932
2990, 8.9, 1933
115, 6.3, 1933
10700, 8.4, 1934
30000, 7.5, 1935
28000, 8.3, 1939
30000, 7.9, 1939
1300, 6.0, 1946
2000, 8.4, 1946
5131, 7.3, 1948
6000, 6.8, 1949
1530, 8.7, 1950
1200, 7.2, 1953
1250, 6.8, 1954
2000, 7.7, 1956
2500, 7.4, 1957
2000, 7.1, 1957
12000, 5.8, 1960
5000, 8.3, 1960
12230, 7.1, 1962
1100, 6.0, 1963
114, 8.5, 1964
2520, 6.9, 1966
12000, 7.4, 1968
1086, 7.4, 1970
66794, 7.7, 1970
65, 6.5, 1971
5057, 6.9, 1972
5000, 6.2, 1972
5200, 6.3, 1974
2312, 6.8, 1975
22778, 7.5, 1976
946, 6.5, 1976
